record,age,sex,weight,hungry,fast_food,fruit,vegetable,soft_drink,cigarette,alcohol
1117,14,Female,NA,Never,3 days,1 time per day,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1118,17,Male,NA,Most of the time,1 day,4 or more times per day,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
1119,15,Male,Overweight,Sometimes,0 days,1 time per day,I did not eat vegetables during the past 7 days,4 or more times per day,0 days,0 days
1120,17,Male,NA,Sometimes,0 days,1 time per day,1 to 3 times during the past 7 days,4 or more times per day,All 30 days,1 or 2 days
1121,15,Female,NA,Never,0 days,4 to 6 times during the past 7 days,4 or more times per day,1 to 3 times during the past 7 days,20 to 29 days,3 to 5 days
1122,16,Male,NA,Never,0 days,1 time per day,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1123,16,Female,Average weight,Rarely,1 day,I did not eat fruit during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,0 days
1124,17,Female,Average weight,Never,0 days,2 times per day,1 time per day,I did not drink carbonated soft drinks,0 days,0 days
1125,16,Male,NA,Never,0 days,NA,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,NA,NA
1126,13,Female,NA,Never,NA,I did not eat fruit during the past 7 days,1 time per day,3 times per day,All 30 days,10 to 19 days
1127,15,Male,NA,Rarely,2 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,4 or more times per day,0 days,3 to 5 days
1128,16,Male,Overweight,Never,0 days,1 to 3 times during the past 7 days,1 time per day,1 to 3 times during the past 7 days,1 or 2 days,6 to 9 days
1129,16,Male,NA,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,1 or 2 days
1130,13,Female,NA,Never,7 days,I did not eat fruit during the past 7 days,1 time per day,3 times per day,All 30 days,10 to 19 days
1131,15,Male,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
1132,17,Male,NA,Never,1 day,3 times per day,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,3 to 5 days
1133,16,Male,Average weight,Never,2 days,2 times per day,1 to 3 times during the past 7 days,2 times per day,6 to 9 days,1 or 2 days
1134,17,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,2 times per day,2 times per day,0 days,NA
1135,16,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,3 to 5 days,3 to 5 days
1136,17,Male,Average weight,Rarely,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,NA,NA
1137,17,Male,NA,Never,7 days,4 to 6 times during the past 7 days,I did not eat vegetables during the past 7 days,4 to 6 times during the past 7 days,0 days,1 or 2 days
1138,17,Female,NA,Never,0 days,1 to 3 times during the past 7 days,1 time per day,I did not drink carbonated soft drinks,0 days,6 to 9 days
1139,16,NA,NA,NA,0 days,NA,NA,NA,6 to 9 days,1 or 2 days
1140,15,Male,Average weight,Never,5 days,2 times per day,1 time per day,4 or more times per day,1 or 2 days,NA
1141,16,Female,Average weight,Rarely,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
1142,16,Female,Overweight,Rarely,0 days,3 times per day,2 times per day,3 times per day,3 to 5 days,3 to 5 days
1143,17,Male,NA,Never,2 days,I did not eat fruit during the past 7 days,4 or more times per day,4 or more times per day,0 days,NA
1144,16,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 time per day,0 days,6 to 9 days
1145,17,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,2 times per day,0 days,1 or 2 days
1146,16,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
1147,16,Female,NA,Rarely,0 days,1 time per day,3 times per day,1 to 3 times during the past 7 days,0 days,6 to 9 days
1148,17,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,3 to 5 days,0 days
1149,16,Female,NA,Never,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
1150,17,Female,Average weight,Never,3 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,3 to 5 days,20 to 29 days
1151,17,Male,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1152,17,Male,NA,Never,5 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,1 or 2 days
1153,17,Male,NA,Sometimes,7 days,1 to 3 times during the past 7 days,1 time per day,I did not drink carbonated soft drinks,3 to 5 days,1 or 2 days
1154,17,Male,Average weight,Most of the time,2 days,4 to 6 times during the past 7 days,I did not eat vegetables during the past 7 days,1 time per day,0 days,0 days
1155,15,Male,Average weight,Rarely,0 days,1 time per day,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
1156,16,Male,Average weight,Never,0 days,2 times per day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1157,15,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1158,15,Male,Overweight,Rarely,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 time per day,0 days,1 or 2 days
1159,15,Male,Average weight,Never,0 days,1 time per day,2 times per day,1 to 3 times during the past 7 days,0 days,3 to 5 days
1160,15,Male,NA,Rarely,1 day,1 time per day,4 or more times per day,1 to 3 times during the past 7 days,0 days,0 days
1161,15,Female,NA,Rarely,0 days,3 times per day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1162,15,Female,Average weight,Never,2 days,1 time per day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
1163,16,Male,Average weight,Never,1 day,4 or more times per day,4 or more times per day,2 times per day,0 days,1 or 2 days
1164,15,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
1165,15,Female,Overweight,Never,0 days,2 times per day,2 times per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
1166,15,Female,Average weight,Never,1 day,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
1167,15,Female,Average weight,Rarely,1 day,3 times per day,3 times per day,1 to 3 times during the past 7 days,0 days,20 to 29 days
1168,15,Female,Underweight,Rarely,0 days,4 to 6 times during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,0 days
1169,15,Male,Average weight,Rarely,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
1170,15,Male,Overweight,Rarely,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
1171,15,Female,Average weight,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1172,15,Female,Average weight,Rarely,1 day,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,3 to 5 days
1173,15,Male,Average weight,Rarely,0 days,1 to 3 times during the past 7 days,2 times per day,1 to 3 times during the past 7 days,3 to 5 days,6 to 9 days
1174,16,Female,NA,Never,1 day,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 or 2 days,1 or 2 days
1175,15,Male,Average weight,Never,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,3 to 5 days
1176,15,Female,Overweight,Never,0 days,2 times per day,2 times per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
1177,15,Female,Average weight,Rarely,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1178,15,Female,NA,Never,1 day,2 times per day,2 times per day,1 to 3 times during the past 7 days,0 days,3 to 5 days
1179,14,Female,NA,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 time per day,0 days,0 days
1180,14,Female,NA,Sometimes,1 day,1 time per day,4 to 6 times during the past 7 days,1 time per day,0 days,0 days
1181,14,Male,NA,Never,1 day,2 times per day,2 times per day,1 time per day,0 days,0 days
1182,14,Female,NA,Never,1 day,4 to 6 times during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,0 days
1183,15,Female,NA,Never,0 days,4 or more times per day,3 times per day,4 to 6 times during the past 7 days,0 days,0 days
1184,14,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 time per day,0 days,1 or 2 days
1185,14,Male,NA,Never,0 days,1 to 3 times during the past 7 days,2 times per day,I did not drink carbonated soft drinks,0 days,0 days
1186,17,Male,Average weight,Never,3 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,6 to 9 days,20 to 29 days
1187,14,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,4 or more times per day,0 days,1 or 2 days
1188,15,Male,NA,Never,0 days,1 time per day,2 times per day,I did not drink carbonated soft drinks,0 days,0 days
1189,14,Female,NA,Never,0 days,I did not eat fruit during the past 7 days,1 time per day,3 times per day,0 days,1 or 2 days
1190,14,Female,NA,Never,0 days,2 times per day,1 time per day,I did not drink carbonated soft drinks,0 days,0 days
1191,14,Male,NA,Never,1 day,1 time per day,NA,2 times per day,0 days,1 or 2 days
1192,14,Female,NA,Never,2 days,4 or more times per day,3 times per day,1 time per day,0 days,1 or 2 days
1193,14,Male,NA,Never,0 days,4 to 6 times during the past 7 days,1 time per day,1 to 3 times during the past 7 days,0 days,3 to 5 days
1194,14,Female,NA,Never,0 days,4 or more times per day,4 or more times per day,I did not drink carbonated soft drinks,0 days,0 days
1195,13,Female,Average weight,Never,1 day,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1196,13,Male,Average weight,Never,1 day,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,6 to 9 days
1197,14,Female,NA,Never,2 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
1198,13,Male,Overweight,Never,3 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,6 to 9 days
1199,13,Male,NA,Rarely,0 days,NA,NA,I did not drink carbonated soft drinks,0 days,0 days
1200,13,Female,NA,Rarely,0 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
1201,13,Female,NA,Never,2 days,1 time per day,4 or more times per day,1 to 3 times during the past 7 days,0 days,0 days
1202,13,Female,Overweight,Sometimes,1 day,I did not eat fruit during the past 7 days,2 times per day,2 times per day,3 to 5 days,1 or 2 days
1203,14,Male,NA,Never,2 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1204,14,Male,Overweight,Rarely,1 day,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,1 time per day,0 days,0 days
1205,13,Female,NA,Rarely,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
1206,13,Female,Average weight,Never,3 days,2 times per day,2 times per day,4 to 6 times during the past 7 days,0 days,0 days
1207,13,Female,Overweight,Never,0 days,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
1208,13,Female,Average weight,Rarely,2 days,1 time per day,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
1209,13,Male,Average weight,Never,1 day,2 times per day,4 or more times per day,1 to 3 times during the past 7 days,0 days,0 days
1210,13,Female,NA,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1211,13,Female,NA,Rarely,7 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,2 times per day,0 days,0 days
1212,14,Male,NA,Never,0 days,1 time per day,2 times per day,3 times per day,0 days,1 or 2 days
1213,14,Female,Average weight,Never,2 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,4 or more times per day,0 days,0 days
1214,14,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1215,13,Male,Average weight,Rarely,0 days,1 time per day,I did not eat vegetables during the past 7 days,4 to 6 times during the past 7 days,0 days,6 to 9 days
1216,13,Male,Overweight,Sometimes,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
1217,13,Female,Average weight,Most of the time,4 days,4 or more times per day,4 or more times per day,3 times per day,1 or 2 days,20 to 29 days
1218,13,Male,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,0 days
1219,13,Male,NA,Never,0 days,4 to 6 times during the past 7 days,1 time per day,4 to 6 times during the past 7 days,0 days,0 days
1220,16,Female,Average weight,Never,1 day,3 times per day,4 to 6 times during the past 7 days,1 time per day,0 days,0 days
1221,16,Female,Average weight,Rarely,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 or 2 days,6 to 9 days
1222,17,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 time per day,0 days,1 or 2 days
1223,16,Female,Overweight,Never,7 days,1 to 3 times during the past 7 days,1 time per day,1 time per day,All 30 days,3 to 5 days
1224,17,Male,Average weight,Never,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
1225,16,Male,NA,Never,0 days,1 to 3 times during the past 7 days,1 time per day,I did not drink carbonated soft drinks,0 days,6 to 9 days
1226,16,Male,NA,Never,1 day,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,NA
1227,16,Male,Average weight,Never,5 days,4 or more times per day,2 times per day,4 or more times per day,0 days,1 or 2 days
1228,15,Male,NA,Rarely,1 day,1 to 3 times during the past 7 days,1 time per day,I did not drink carbonated soft drinks,0 days,3 to 5 days
1229,15,Male,Average weight,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,1 or 2 days,6 to 9 days
1230,15,Female,Overweight,Never,1 day,1 time per day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,3 to 5 days,10 to 19 days
1231,15,Female,Overweight,Rarely,0 days,4 to 6 times during the past 7 days,3 times per day,I did not drink carbonated soft drinks,0 days,3 to 5 days
1232,15,Female,Average weight,Sometimes,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1233,16,Male,Average weight,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1234,16,Male,Overweight,Never,2 days,2 times per day,3 times per day,1 to 3 times during the past 7 days,0 days,1 or 2 days
1235,17,Female,Overweight,Never,2 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,All 30 days,1 or 2 days
1236,17,Female,Average weight,Rarely,1 day,4 or more times per day,4 to 6 times during the past 7 days,1 time per day,20 to 29 days,1 or 2 days
1237,18,Male,Average weight,Never,0 days,1 to 3 times during the past 7 days,1 time per day,2 times per day,0 days,6 to 9 days
1238,16,Female,Overweight,Never,1 day,1 to 3 times during the past 7 days,1 time per day,1 to 3 times during the past 7 days,1 or 2 days,1 or 2 days
1239,17,Female,Average weight,Sometimes,6 days,1 time per day,2 times per day,1 to 3 times during the past 7 days,1 or 2 days,1 or 2 days
1240,17,Male,NA,Never,1 day,4 or more times per day,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,3 to 5 days
1241,16,Female,Average weight,Rarely,0 days,I did not eat fruit during the past 7 days,1 time per day,1 time per day,0 days,1 or 2 days
1242,17,Female,NA,Sometimes,0 days,1 to 3 times during the past 7 days,3 times per day,I did not drink carbonated soft drinks,1 or 2 days,3 to 5 days
1243,17,Male,Average weight,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,10 to 19 days
1244,17,Male,NA,Rarely,0 days,2 times per day,2 times per day,1 to 3 times during the past 7 days,0 days,0 days
1245,16,Female,NA,Never,2 days,2 times per day,2 times per day,3 times per day,0 days,1 or 2 days
1246,17,Male,Average weight,Never,1 day,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,3 to 5 days,1 or 2 days
1247,16,Male,NA,Never,5 days,4 or more times per day,4 or more times per day,4 or more times per day,0 days,0 days
1248,13,Female,Overweight,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 time per day,6 to 9 days,3 to 5 days
1249,15,Male,NA,Never,7 days,1 to 3 times during the past 7 days,1 time per day,4 to 6 times during the past 7 days,0 days,3 to 5 days
1250,16,Male,Average weight,Never,3 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,3 times per day,20 to 29 days,6 to 9 days
1251,14,Female,Average weight,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,0 days
1252,16,Male,Overweight,Never,1 day,I did not eat fruit during the past 7 days,2 times per day,1 to 3 times during the past 7 days,0 days,0 days
1253,13,Female,Overweight,Rarely,0 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,1 time per day,0 days,1 or 2 days
1254,17,Male,Average weight,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,6 to 9 days,1 or 2 days
1255,14,Male,Average weight,Never,0 days,4 or more times per day,3 times per day,3 times per day,0 days,0 days
1256,14,Male,Overweight,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,0 days
1257,16,Male,NA,Sometimes,7 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,2 times per day,All 30 days,20 to 29 days
1258,14,Male,Average weight,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,10 to 19 days,20 to 29 days
1259,14,Female,Overweight,Sometimes,3 days,3 times per day,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,20 to 29 days,1 or 2 days
1260,14,Female,NA,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
1261,14,Male,Average weight,Never,1 day,4 to 6 times during the past 7 days,4 or more times per day,I did not drink carbonated soft drinks,0 days,0 days
1262,14,Male,NA,Never,0 days,4 or more times per day,2 times per day,1 time per day,0 days,0 days
1263,15,Female,Average weight,Never,0 days,4 to 6 times during the past 7 days,3 times per day,4 to 6 times during the past 7 days,0 days,1 or 2 days
1264,15,Male,Overweight,Never,7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,1 or 2 days
1265,14,Male,NA,Never,0 days,2 times per day,4 or more times per day,1 time per day,0 days,1 or 2 days
1266,14,Male,Average weight,Sometimes,2 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,1 to 3 times during the past 7 days,1 or 2 days,1 or 2 days
1267,15,Female,Average weight,Never,0 days,4 or more times per day,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,6 to 9 days,10 to 19 days
1268,14,Male,Average weight,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,2 times per day,0 days,0 days
1269,15,Female,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
1270,15,Male,Average weight,Never,7 days,4 or more times per day,3 times per day,2 times per day,0 days,0 days
1271,14,Male,Average weight,Rarely,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,0 days
1272,15,Male,Overweight,Never,1 day,2 times per day,4 or more times per day,I did not drink carbonated soft drinks,0 days,0 days
1273,15,Female,Average weight,Never,3 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,All 30 days,3 to 5 days
1274,16,Male,Overweight,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 or 2 days,1 or 2 days
1275,15,Male,Average weight,Never,0 days,I did not eat fruit during the past 7 days,I did not eat vegetables during the past 7 days,4 or more times per day,6 to 9 days,1 or 2 days
1276,15,Male,Overweight,Never,NA,1 time per day,1 time per day,1 to 3 times during the past 7 days,NA,6 to 9 days
1277,16,Female,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,1 or 2 days
1278,17,Male,Average weight,Rarely,0 days,1 time per day,2 times per day,I did not drink carbonated soft drinks,0 days,0 days
1279,15,Male,Average weight,Sometimes,2 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,0 days,1 or 2 days
1280,15,Female,NA,Sometimes,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,3 to 5 days,10 to 19 days
1281,14,Male,NA,Never,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,0 days,0 days
1282,17,Female,NA,Rarely,0 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,I did not drink carbonated soft drinks,0 days,10 to 19 days
1283,17,Female,NA,Never,3 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,20 to 29 days,10 to 19 days
1284,16,Male,Overweight,Never,4 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,All 30 days,10 to 19 days
1285,16,Female,Overweight,Rarely,1 day,2 times per day,4 or more times per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
1286,17,Female,Average weight,Never,1 day,2 times per day,2 times per day,1 to 3 times during the past 7 days,1 or 2 days,6 to 9 days
1287,15,Male,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1288,17,Female,NA,Never,1 day,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,20 to 29 days,6 to 9 days
1289,16,Male,Overweight,Never,0 days,4 or more times per day,4 to 6 times during the past 7 days,I did not drink carbonated soft drinks,0 days,NA
1290,17,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,1 time per day,4 to 6 times during the past 7 days,0 days,0 days
1291,18,Female,Average weight,Never,2 days,1 time per day,I did not eat vegetables during the past 7 days,4 or more times per day,10 to 19 days,3 to 5 days
1292,17,Male,NA,Rarely,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,20 to 29 days,1 or 2 days
1293,18,Female,NA,Most of the time,0 days,I did not eat fruit during the past 7 days,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,10 to 19 days,10 to 19 days
1294,17,Male,Overweight,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,20 to 29 days,3 to 5 days
1295,17,Male,Average weight,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,2 times per day,0 days,0 days
1296,17,Female,Average weight,Never,2 days,I did not eat fruit during the past 7 days,4 or more times per day,2 times per day,6 to 9 days,10 to 19 days
1297,17,Male,Average weight,Rarely,0 days,1 to 3 times during the past 7 days,1 time per day,4 to 6 times during the past 7 days,0 days,0 days
1298,17,Male,Average weight,Never,4 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,20 to 29 days,6 to 9 days
1299,18,Male,Overweight,Rarely,2 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,0 days,3 to 5 days
1300,16,Female,Average weight,Never,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 or 2 days,6 to 9 days
1301,16,Female,Average weight,Never,1 day,1 time per day,1 time per day,2 times per day,0 days,0 days
1302,17,Male,NA,Never,1 day,1 time per day,I did not eat vegetables during the past 7 days,1 time per day,0 days,0 days
1303,18,Female,NA,Never,1 day,4 to 6 times during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,0 days
1304,16,Male,Overweight,Sometimes,1 day,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,1 time per day,0 days,0 days
1305,16,Female,Overweight,Rarely,0 days,4 to 6 times during the past 7 days,1 time per day,4 to 6 times during the past 7 days,1 or 2 days,1 or 2 days
1306,17,Male,Underweight,Rarely,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,1 time per day,0 days,1 or 2 days
1307,16,Female,NA,Sometimes,0 days,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,20 to 29 days,6 to 9 days
1308,14,Female,Average weight,Rarely,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 time per day,1 or 2 days,1 or 2 days
1309,14,Male,Overweight,Never,1 day,2 times per day,2 times per day,1 to 3 times during the past 7 days,0 days,6 to 9 days
1310,13,Male,NA,Never,0 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 time per day,0 days,0 days
1311,15,Male,NA,Never,0 days,1 to 3 times during the past 7 days,4 to 6 times during the past 7 days,4 to 6 times during the past 7 days,0 days,1 or 2 days
1312,14,Male,Average weight,Never,6 days,1 to 3 times during the past 7 days,I did not eat vegetables during the past 7 days,4 or more times per day,0 days,0 days
1313,14,Male,Overweight,Rarely,0 days,2 times per day,1 time per day,I did not drink carbonated soft drinks,0 days,0 days
1314,14,Female,NA,Never,1 day,1 to 3 times during the past 7 days,1 time per day,1 to 3 times during the past 7 days,1 or 2 days,1 or 2 days
1315,15,Female,Average weight,Sometimes,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,4 or more times per day,1 or 2 days,1 or 2 days
1316,16,Female,Average weight,Rarely,1 day,I did not eat fruit during the past 7 days,1 to 3 times during the past 7 days,I did not drink carbonated soft drinks,0 days,10 to 19 days
1317,16,Male,Average weight,Never,3 days,3 times per day,1 time per day,4 or more times per day,0 days,3 to 5 days
1318,15,Female,Overweight,Never,1 day,1 time per day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,3 to 5 days
1319,14,Female,Overweight,Rarely,0 days,I did not eat fruit during the past 7 days,1 time per day,4 or more times per day,0 days,10 to 19 days
1320,14,Female,Average weight,Rarely,2 days,4 to 6 times during the past 7 days,1 time per day,2 times per day,0 days,10 to 19 days
1321,15,Female,Average weight,Never,1 day,4 to 6 times during the past 7 days,1 time per day,I did not drink carbonated soft drinks,0 days,1 or 2 days
1322,15,Male,Average weight,Never,1 day,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,1 to 3 times during the past 7 days,0 days,0 days
1323,13,Male,Average weight,Rarely,2 days,1 time per day,2 times per day,2 times per day,0 days,1 or 2 days
